sample,soil.treatment,invasion,monocot.abundance,monocot.richness,dicot.abundance,dicot.richness,dry.weight.g
ESI.IS3,ISS,invaded,0,0,64,6,1.99
ESI.IS4,ISS,invaded,2,1,57,5,1.82
ESI.IS5,ISS,invaded,3,1,56,7,2.19
ESI.IS2,ISS,invaded,2,1,23,4,0.82
ESI.IS1,ISS,invaded,1,1,46,6,1.5
ESI.MS5,MSS,invaded,4,2,56,6,2.35
ESI.MS4,MSS,invaded,2,1,61,4,0.97
ESI.MS3,MSS,invaded,3,2,40,5,1.18
ESI.MS2,MSS,invaded,5,1,36,3,0.69
ESI.MS1,MSS,invaded,2,2,55,5,4.75
NCI.IS5,ISS,invaded,33,2,40,5,1.1
NCI.IS4,ISS,invaded,28,2,50,6,1.08
NCI.IS3,ISS,invaded,13,2,24,6,1.41
NCI.IS2,ISS,invaded,8,1,17,4,1.06
NCI.IS1,ISS,invaded,15,2,16,4,1.26
NCI.MS5,MSS,invaded,22,3,17,5,1.22
NCI.MS4,MSS,invaded,14,2,17,5,1.22
NCI.MS3,MSS,invaded,21,2,17,4,1.23
NCI.MS2,MSS,invaded,16,3,3,3,0.73
NCI.MS1,MSS,invaded,14,3,13,5,1.44
FI.IS5,ISS,invaded,2,1,36,6,0.83
FI.IS4,ISS,invaded,13,3,38,8,1.98
FI.IS3,ISS,invaded,0,0,17,5,0.79
FI.IS2,ISS,invaded,2,1,25,6,0.83
FI.IS1,ISS,invaded,0,0,22,3,1.75
FI.MS5,MSS,invaded,3,2,32,5,1.15
FI.MS4,MSS,invaded,3,1,43,5,1.1
FI.MS3,MSS,invaded,3,1,26,3,0.95
FI.MS2,MSS,invaded,0,0,39,5,1.11
FI.MS1,MSS,invaded,1,1,22,6,1.02
ESUI.IS5,ISS,uninvaded,13,1,73,4,0.7
ESUI.IS4,ISS,uninvaded,5,1,80,3,1.15
ESUI.IS3,ISS,uninvaded,6,2,79,6,1.01
ESUI.IS2,ISS,uninvaded,14,2,63,5,0.85
ESUI.IS1,ISS,uninvaded,6,2,48,3,0.52
ESUI.MS5,MSS,uninvaded,9,2,58,4,0.46
ESUI.MS4,MSS,uninvaded,11,2,56,5,0.84
ESUI.MS3,MSS,uninvaded,11,2,80,4,0.63
ESUI.MS2,MSS,uninvaded,10,2,14,3,0.18
ESUI.MS1,MSS,uninvaded,5,1,25,3,0.23
NCUI.IS5,ISS,uninvaded,41,3,40,5,0.9
NCUI.IS4,ISS,uninvaded,36,3,35,4,0.78
NCUI.IS3,ISS,uninvaded,19,3,42,5,0.67
NCUI.IS2,ISS,uninvaded,35,2,22,4,0.55
NCUI.IS1,ISS,uninvaded,30,3,41,4,0.59
NCUI.MS5,MSS,uninvaded,25,3,30,5,0.96
NCUI.MS4,MSS,uninvaded,25,2,19,4,0.9
NCUI.MS3,MSS,uninvaded,27,3,20,5,0.76
NCUI.MS2,MSS,uninvaded,24,3,20,4,0.68
NCUI.MS1,MSS,uninvaded,33,4,29,8,1.09
FUI.IS5,ISS,uninvaded,21,3,19,6,0.6
FUI.IS4,ISS,uninvaded,23,2,14,5,0.7
FUI.IS3,ISS,uninvaded,29,2,18,7,0.72
FUI.IS2,ISS,uninvaded,26,3,18,7,0.63
FUI.IS1,ISS,uninvaded,20,4,23,8,0.43
FUI.MS5,MSS,uninvaded,27,2,26,8,0.68
FUI.MS4,MSS,uninvaded,23,2,14,8,0.5
FUI.MS3,MSS,uninvaded,8,2,13,7,0.33
FUI.MS2,MSS,uninvaded,12,3,12,5,0.13
FUI.MS1,MSS,uninvaded,5,2,17,5,0.17
