sample,autoclave.time,pasture,invasion,note,pH,Cond (umhos/cm),NO3N (ppm),P (ppm),K (ppm),Ca (ppm),Mg (ppm),S (ppm),Na (ppm),Sand (%),Silt (%),Clay (%),textural class
ESI-0,0,el.salto,invaded,Samples also sent in for texture along with nutrients,6.8,50,1,2,167,653,72,1,4,94,4,2,Sand
ESUI-0,0,el.salto,uninvaded,Samples also sent in for texture along with nutrients,6.6,62,0,1,157,595,62,1,3,90,6,4,Sand
NCI-0,0,north.cuantes,invaded,Samples also sent in for texture along with nutrients,6.2,65,6,1,124,357,55,1,3,94,6,0,Sand
NCUI-0,0,north.cuantes,uninvaded,Samples also sent in for texture along with nutrients,5.7,34,0,2,88,258,52,1,4,92,6,2,Sand
FI-0,0,finner,invaded,Samples also sent in for texture along with nutrients,6.1,59,4,6,121,542,75,2,6,92,6,2,Sand
FUI-0,0,finner,uninvaded,Samples also sent in for texture along with nutrients,5.8,51,2,3,101,354,53,1,4,90,6,4,Sand
ESI-60,60,el.salto,invaded,Samples sent in just for nutrients,6.9,110,3,4,167,631,74,3,7,NA,NA,NA,NA
ESUI-60,60,el.salto,uninvaded,Samples sent in just for nutrients,6.8,42,0,3,157,606,67,3,7,NA,NA,NA,NA
NCI-60,60,north.cuantes,invaded,Samples sent in just for nutrients,6.2,64,6,3,133,364,59,2,6,NA,NA,NA,NA
NCUI-60,60,north.cuantes,uninvaded,Samples sent in just for nutrients,5.6,57,1,5,90,254,55,3,10,NA,NA,NA,NA
FI-60,60,finner,invaded,Samples sent in just for nutrients,6.4,123,4,10,129,560,79,6,10,NA,NA,NA,NA
FUI-60,60,finner,uninvaded,Samples sent in just for nutrients,5.9,81,3,4,98,328,52,2,8,NA,NA,NA,NA
ESI-120,120,el.salto,invaded,Samples sent in just for nutrients,7.09,105,3,5,154,607,69,3,6,NA,NA,NA,NA
ESUI-120,120,el.salto,uninvaded,Samples sent in just for nutrients,6.9,123,1,4,149,598,66,4,10,NA,NA,NA,NA
NCI-120,120,north.cuantes,invaded,Samples sent in just for nutrients,6.2,105,5,5,128,370,61,3,7,NA,NA,NA,NA
NCUI-120,120,north.cuantes,uninvaded,Samples sent in just for nutrients,5.6,101,1,6,85,250,54,3,7,NA,NA,NA,NA
FI-120,120,finner,invaded,Samples sent in just for nutrients,6.4,184,4,15,154,609,91,13,32,NA,NA,NA,NA
FUI-120,120,finner,uninvaded,Samples sent in just for nutrients,6,53,0,8,123,374,64,8,30,NA,NA,NA,NA
