sample,replicate,pasture,invasion,soil.treatment,time.point,CFU.bacterial,abundance.bacterial,CFU.fungal,abundance.fungal,spec.richness.bacterial,spec.richness.fungal,notes
ESI.MS1A,1,el.salto,Invaded,MSS,8/28/2020,0,0,1,10000,0,1,"plated Oct. 16-17, 2020; alternative sample name: LHI"
ESI.MS2A,2,el.salto,Invaded,MSS,8/28/2020,1,10000,0,0,1,0,"plated Oct. 16-17, 2020; alternative sample name: LHI"
ESI.IS1A,1,el.salto,Invaded,ISS,8/28/2020,0,0,1,10000,0,1,"plated Oct. 16-17, 2020; alternative sample name: LHI"
ESI.IS2A,2,el.salto,Invaded,ISS,8/28/2020,3,30000,8,80000,1,7,"plated Oct. 16-17, 2020; alternative sample name: LHI"
NCI.MS1A,1,north.cuates,Invaded,MSS,8/28/2020,0,0,4,40000,0,3,"plated Oct. 16-17, 2020; alternative sample name: LCI"
NCI.MS4A,4,north.cuates,Invaded,MSS,8/28/2020,0,0,9,90000,0,5,"plated Oct. 16-17, 2020; alternative sample name: LCI"
NCI.IS1A,1,north.cuates,Invaded,ISS,8/28/2020,2,20000,1,10000,2,1,"plated Oct. 16-17, 2020; alternative sample name: LCI"
NCI.IS4A,4,north.cuates,Invaded,ISS,8/28/2020,4,40000,12,120000,2,3,"plated Oct. 16-17, 2020; alternative sample name: LCI"
FI.MS1A,1,finner,Invaded,MSS,8/28/2020,2,20000,6,60000,1,4,"plated Oct. 16-17, 2020; alternative sample name: FI"
FI.MS2A,2,finner,Invaded,MSS,8/28/2020,0,0,13,130000,0,11,"plated Oct. 16-17, 2020; alternative sample name: FI"
FI.IS1A,1,finner,Invaded,ISS,8/28/2020,0,0,11,110000,0,9,"plated Oct. 16-17, 2020; alternative sample name: FI"
FI.IS2A,2,finner,Invaded,ISS,8/28/2020,1,10000,42,420000,1,13,"plated Oct. 16-17, 2020; alternative sample name: FI"
ESUI.MS1A,1,el.salto,Uninvaded,MSS,8/28/2020,0,0,0,0,0,0,"plated Oct. 16-17, 2020; alternative sample name: LHUI"
