date,time,humidity_percent,temperature_F
9/8/2020,3:23,77,83
9/9/2020,5:31,98,77
9/10/2020,3:10,83,72
9/11/2020,2:09,65,84
9/14/2020,2:55,48,87
9/15/2020,2:06,53,95
9/16/2020,4:23,55,91
9/17/2020,2:42,62,88
9/22/2020,4:06,83,77
9/23/2020,3:01,82,78
9/24/2020,3:37,48,90
9/25/2020,4:21,57,90
9/28/2020,4:04,35,85
9/29/2020,4:37,16,90
9/30/2020,5:22,16,91
10/1/2020,4:22,31,88
10/2/2020,3:06,30,93
10/12/2020,4:02,39,86
10/15/2020,4:29,61,81
10/16/2020,11:54,45,80
10/19/2020,3:59,65,87
10/22/2020,4:33,67,86
10/23/2020,1:46,73,83
10/26/2020,3:20,72,64
10/27/2020,2:24,72,53
10/28/2020,4:39,45,74
10/29/2020,1:10,43,75
10/30/2020,1:22,42,83
11/2/2020,3:41,42,80
11/3/2020,3:07,44,81
11/4/2020,3:48,47,82
11/5/2020,3:29,55,83
11/6/2020,1:40,58,84
11/9/2020,2:42,59,84
11/10/2020,3:42,49,82
11/11/2020,2:50,48,85
11/26/2020,3:20,33,83
11/17/2020,3:47,30,87
11/18/2020,3:14,37,94
11/19/2020,2:25,50,84
