sample,replicate,pasture,invasion,soil.treatment,time.point,CFU.fungal,abundance.fungal,spec.richness.fungal
ESI.MS1A,1,el.salto,Invaded,MSS,1,1,10000,1
ESI.MS2A,2,el.salto,Invaded,MSS,1,0,0,0
ESI.IS1A,1,el.salto,Invaded,ISS,1,1,10000,1
ESI.IS2A,2,el.salto,Invaded,ISS,1,8,80000,7
NCI.MS1A,1,north.cuates,Invaded,MSS,1,4,40000,3
NCI.MS4A,4,north.cuates,Invaded,MSS,1,9,90000,5
NCI.IS1A,1,north.cuates,Invaded,ISS,1,1,10000,1
NCI.IS4A,4,north.cuates,Invaded,ISS,1,12,120000,3
FI.MS1A,1,finner,Invaded,MSS,1,6,60000,4
FI.MS2A,2,finner,Invaded,MSS,1,13,130000,11
FI.IS1A,1,finner,Invaded,ISS,1,11,110000,9
FI.IS2A,2,finner,Invaded,ISS,1,42,420000,13
ESUI.MS1A,1,el.salto,Uninvaded,MSS,1,0,0,0
ESUI.MS2A,2,el.salto,Uninvaded,MSS,1,0,0,0
ESUI.IS1A,1,el.salto,Uninvaded,ISS,1,2,20000,2
ESUI.IS2A,2,el.salto,Uninvaded,ISS,1,0,0,0
NCUI.MS1A,1,north.cuates,Uninvaded,MSS,1,11,110000,4
NCUI.MS2A,2,north.cuates,Uninvaded,MSS,1,58,580000,5
NCUI.IS1A,1,north.cuates,Uninvaded,ISS,1,6,60000,1
NCUI.IS2A,2,north.cuates,Uninvaded,ISS,1,6,60000,2
FUI.MS1A,1,finner,Uninvaded,MSS,1,6,60000,6
FUI.MS2A,2,finner,Uninvaded,MSS,1,2,20000,2
FUI.IS1A,1,finner,Uninvaded,ISS,1,8,80000,7
FUI.IS2A,2,finner,Uninvaded,ISS,1,4,40000,4
ESI.MS1B,1,el.salto,Invaded,MSS,2,19,190000,6
ESI.MS2B,2,el.salto,Invaded,MSS,2,7,70000,5
ESI.IS1B,1,el.salto,Invaded,ISS,2,9,90000,8
ESI.IS2B,2,el.salto,Invaded,ISS,2,7,70000,6
NCI.MS1B,1,north.cuates,Invaded,MSS,2,6,60000,6
NCI.MS4B,4,north.cuates,Invaded,MSS,2,100,1000000,11
NCI.IS1B,1,north.cuates,Invaded,ISS,2,100,1000000,22
NCI.IS4B,4,north.cuates,Invaded,ISS,2,100,1000000,11
FI.MS1B,1,finner,Invaded,MSS,2,12,120000,9
FI.MS2B,2,finner,Invaded,MSS,2,8,80000,8
FI.IS1B,1,finner,Invaded,ISS,2,8,80000,7
FI.IS2B,2,finner,Invaded,ISS,2,50,500000,23
ESUI.MS1B,1,el.salto,Uninvaded,MSS,2,100,1000000,13
ESUI.MS2B,2,el.salto,Uninvaded,MSS,2,25,250000,15
ESUI.IS1B,1,el.salto,Uninvaded,ISS,2,8,80000,8
ESUI.IS2B,2,el.salto,Uninvaded,ISS,2,6,60000,5
NCUI.MS1B,1,north.cuates,Uninvaded,MSS,2,12,120000,9
NCUI.MS2B,2,north.cuates,Uninvaded,MSS,2,35,350000,16
NCUI.IS1B,1,north.cuates,Uninvaded,ISS,2,100,1000000,13
NCUI.IS2B,2,north.cuates,Uninvaded,ISS,2,8,80000,2
FUI.MS1B,1,finner,Uninvaded,MSS,2,100,1000000,3
FUI.MS2B,2,finner,Uninvaded,MSS,2,12,120000,9
FUI.IS1B,1,finner,Uninvaded,ISS,2,10,100000,8
FUI.IS2B,2,finner,Uninvaded,ISS,2,75,750000,7
ESI.MS1C,1,el.salto,Invaded,MSS,3,4,40000,4
ESI.MS2C,2,el.salto,Invaded,MSS,3,2,20000,2
ESI.IS1C,1,el.salto,Invaded,ISS,3,5,50000,4
ESI.IS2C,2,el.salto,Invaded,ISS,3,14,140000,9
NCI.MS1C,1,north.cuates,Invaded,MSS,3,50,500000,18
NCI.MS4C,4,north.cuates,Invaded,MSS,3,3,30000,3
NCI.IS1C,1,north.cuates,Invaded,ISS,3,100,1000000,13
NCI.IS4C,4,north.cuates,Invaded,ISS,3,16,160000,14
FI.MS1C,1,finner,Invaded,MSS,3,9,90000,6
FI.MS2C,2,finner,Invaded,MSS,3,10,100000,6
FI.IS1C,1,finner,Invaded,ISS,3,15,150000,7
FI.IS2C,2,finner,Invaded,ISS,3,13,130000,8
ESUI.MS1C,1,el.salto,Uninvaded,MSS,3,15,150000,11
ESUI.MS2C,2,el.salto,Uninvaded,MSS,3,12,120000,9
ESUI.IS1C,1,el.salto,Uninvaded,ISS,3,8,80000,7
ESUI.IS2C,2,el.salto,Uninvaded,ISS,3,8,80000,8
NCUI.MS1C,1,north.cuates,Uninvaded,MSS,3,14,140000,12
NCUI.MS2C,2,north.cuates,Uninvaded,MSS,3,11,110000,10
NCUI.IS1C,1,north.cuates,Uninvaded,ISS,3,9,90000,8
NCUI.IS2C,2,north.cuates,Uninvaded,ISS,3,50,500000,15
FUI.MS1C,1,finner,Uninvaded,MSS,3,9,90000,9
FUI.MS2C,2,finner,Uninvaded,MSS,3,6,60000,6
FUI.IS1C,1,finner,Uninvaded,ISS,3,46,460000,12
FUI.IS2C,2,finner,Uninvaded,ISS,3,9,90000,8
